"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-84.79","47.97","WAWA A","6059407","2018-09-04 16:00","2018","09","04","16:00","17.2","","17.2","","100","","","","13","","3","","1.2","","98.32","","","","","","Rain,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-04 17:00","2018","09","04","17:00","17.6","","17.6","","100","","","","17","","5","","1.2","","98.27","","","","","","Drizzle,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-04 18:00","2018","09","04","18:00","18.1","","18.1","","100","","","","23","","11","","0.8","","98.26","","","","","","Rain,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-04 19:00","2018","09","04","19:00","18.7","","18.7","","100","","","","24","","14","","1.2","","98.24","","","","","","Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-04 20:00","2018","09","04","20:00"
"-84.79","47.97","WAWA A","6059407","2018-09-04 21:00","2018","09","04","21:00"
"-84.79","47.97","WAWA A","6059407","2018-09-04 22:00","2018","09","04","22:00"
"-84.79","47.97","WAWA A","6059407","2018-09-04 23:00","2018","09","04","23:00"
"-84.79","47.97","WAWA A","6059407","2018-09-05 00:00","2018","09","05","00:00"
"-84.79","47.97","WAWA A","6059407","2018-09-05 01:00","2018","09","05","01:00"
"-84.79","47.97","WAWA A","6059407","2018-09-05 02:00","2018","09","05","02:00"
"-84.79","47.97","WAWA A","6059407","2018-09-05 03:00","2018","09","05","03:00"
"-84.79","47.97","WAWA A","6059407","2018-09-05 04:00","2018","09","05","04:00"
"-84.79","47.97","WAWA A","6059407","2018-09-05 05:00","2018","09","05","05:00"
