"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 20:00","2020","01","02","20:00","","M","","M","","M","","","27","","21","","","","100.44","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 21:00","2020","01","02","21:00","","M","","M","","M","","","28","","22","","","","100.46","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 22:00","2020","01","02","22:00"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-02 23:00","2020","01","02","23:00","","M","","M","","M","","","24","","14","","","","100.49","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 00:00","2020","01","03","00:00","","M","","M","","M","","","25","","18","","","","100.49","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 01:00","2020","01","03","01:00","","M","","M","","M","","","25","","9","","","","100.43","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 02:00","2020","01","03","02:00","","M","","M","","M","","","25","","26","","","","100.40","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 03:00","2020","01","03","03:00","","M","","M","","M","","","27","","12","","","","100.40","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 04:00","2020","01","03","04:00","","M","","M","","M","","","25","","5","","","","100.38","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 05:00","2020","01","03","05:00"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 06:00","2020","01","03","06:00","","M","","M","","M","","","18","","4","","","","100.31","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 07:00","2020","01","03","07:00","","M","","M","","M","","","23","","6","","","","100.35","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 08:00","2020","01","03","08:00","","M","","M","","M","","","15","","3","","","","100.29","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 09:00","2020","01","03","09:00","","M","","M","","M","","","2","","6","","","","100.34","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 10:00","2020","01","03","10:00"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 11:00","2020","01","03","11:00","","M","","M","","M","","","29","","5","","","","100.29","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 12:00","2020","01","03","12:00","","M","","M","","M","","","20","","8","","","","100.17","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 13:00","2020","01","03","13:00","","M","","M","","M","","","22","","6","","","","100.13","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 14:00","2020","01","03","14:00","","M","","M","","M","","","24","","12","","","","100.11","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 15:00","2020","01","03","15:00","","M","","M","","M","","","25","","17","","","","100.17","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 16:00","2020","01","03","16:00","","M","","M","","M","","","25","","10","","","","100.19","","","","","","NA"
